s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/CL_1001433,located_in,http://purl.obolibrary.org/obo/UBERON_0004913
https://purl.org/ccf/ASCTB-TEMP_low-columnar-epithelial-cell,located_in,http://purl.obolibrary.org/obo/UBERON_0004913
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma43903
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma43903
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma43903
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.org/sig/ont/fma/fma43903
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.obolibrary.org/obo/UBERON_0001647
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0001192
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0001192
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.obolibrary.org/obo/UBERON_0001192
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0001192
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0001406
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0001406
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.obolibrary.org/obo/UBERON_0001406
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0001406
http://purl.obolibrary.org/obo/CL_0000818,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0002396,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001054,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001062,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000771,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000824,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000788,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000895,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001056,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000767,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000900,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000094,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000787,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0002399,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000775,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000576,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000084,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000938,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000897,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0002437,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001058,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000815,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000840,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001087,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000816,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0002394,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000945,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0001050,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000814,located_in,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0004688
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0004688
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.obolibrary.org/obo/UBERON_0004688
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0004688
http://purl.obolibrary.org/obo/CL_0000312,located_in,http://purl.obolibrary.org/obo/UBERON_0002073
http://purl.obolibrary.org/obo/CL_0002337,located_in,http://purl.obolibrary.org/obo/UBERON_0002073
http://purl.obolibrary.org/obo/CL_0000503,located_in,http://purl.obolibrary.org/obo/UBERON_0000155
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma23066
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma23066
