pmid|biotype|identifier_type
17178868|molecular interactions|pmid
"11266503|mint:MINT-5213764"|molecular interactions|pmid
21988832|molecular interactions|pmid
23725357|molecular interactions|pmid
16979413|disease|pmid
22529100|molecular interactions|pmid
9817749|molecular interactions|pmid
25015296|molecular interactions|pmid
23943798|molecular interactions|pmid
8700832|molecular interactions|pmid
18372912|molecular interactions|pmid
11279207|molecular interactions|pmid
9653119|molecular interactions|pmid
19338310|molecular interactions|pmid
"16756390|doi:10.1371/journal.pbio.0040210|imex:IM-8525"|molecular interactions|pmid
11419941|molecular interactions|pmid
26317032|disease|pmid
29187741|molecular interactions|pmid
17172643|molecular interactions|pmid
11585926|molecular interactions|pmid
15612980|disease|pmid
"imex:IM-25493|20026052"|molecular interactions|
22419519|disease|pmid
"17973628|mint:MINT-8008008|doi:10.1042/BJ20071033"|molecular interactions|pmid
9798686|molecular interactions|pmid
25081543|molecular interactions|pmid
17171639|molecular interactions|pmid
19118698|disease|pmid
8406474|disease|pmid
19144646|molecular interactions|pmid
23707529|molecular interactions|pmid
31553908|molecular interactions|pmid
23416467|molecular interactions|pmid
16135789|molecular interactions|pmid
19383442|disease|pmid
19822672|molecular interactions|pmid
17320394|molecular interactions|pmid
12657639|molecular interactions|pmid
20930503|molecular interactions|pmid
"imex:IM-20855|21706061"|molecular interactions|
22328510|molecular interactions|pmid
"23995757|doi:10.1038/nsmb.2656|imex:IM-21879"|molecular interactions|pmid
24488901|disease|pmid
31638302|molecular interactions|pmid
30309882|disease|pmid
"17244609|imex:IM-21824"|molecular interactions|pmid
33061806|molecular interactions|pmid
22441734|disease|pmid
24819384|molecular interactions|pmid
9681824|molecular interactions|pmid
21730289|molecular interactions|pmid
16615912|molecular interactions|pmid
21923667|disease|pmid
"22729083|doi:10.1038/ncb2520|imex:IM-25169"|molecular interactions|pmid
15190056|molecular interactions|pmid
32671073|molecular interactions|pmid
21264917|disease|pmid
16458391|molecular interactions|pmid
18852253|disease|pmid
"20880835|doi:10.1073/pnas.1008242107|imex:IM-16497"|molecular interactions|pmid
16600870|molecular interactions|pmid
"imex:IM-12139|18984158"|molecular interactions|
30451988|molecular interactions|pmid
9461599|molecular interactions|pmid
21129722|molecular interactions|pmid
26648032|molecular interactions|pmid
10854698|molecular interactions|pmid
"imex:IM-26268|23589040"|molecular interactions|
15297880|molecular interactions|pmid
23742260|disease|pmid
15492805|disease|pmid
21806828|disease|pmid
20504764|molecular interactions|pmid
18700251|disease|pmid
22751928|molecular interactions|pmid
10051703|disease|pmid
"28319173|imex:IM-27050"|molecular interactions|pmid
16963226|molecular interactions|pmid
18167251|disease|pmid
"24561623|doi:10.1038/ncb2910|imex:IM-22411"|molecular interactions|pmid
"imex:IM-20896|23680147"|molecular interactions|
