source,target,relationship
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_esophagogastric_junction,Organ/UBERON:0007650,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_submucosal_esophageal_gland,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_submucosal_esophageal_gland,Donor/Patient13,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_submucosal_esophageal_gland,Organ/UBERON:0001043,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_cardia_of_stomach,Donor/Patient13,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient13_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient14_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient14_cardia_of_stomach,Donor/Patient14,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient14_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_esophagogastric_junction,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_esophagogastric_junction,Donor/Patient15,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_esophagogastric_junction,Organ/UBERON:0007650,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_cardia_of_stomach,Donor/Patient15,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient15_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient16_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient16_cardia_of_stomach,Donor/Patient16,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient16_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient17_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient17_cardia_of_stomach,Donor/Patient17,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient17_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient21_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient21_cardia_of_stomach,Donor/Patient21,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient21_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient22_cardia_of_stomach,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient22_cardia_of_stomach,Donor/Patient22,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Patient22_cardia_of_stomach,Organ/UBERON:0000945,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_colon,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_colon,Donor/Wang02,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_colon,Organ/UBERON:0001155,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_ileum,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_ileum,Donor/Wang02,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang02_ileum,Organ/UBERON:0002108,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang05_rectum,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang05_rectum,Donor/Wang05,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang05_rectum,Organ/UBERON:0000059,hasOrgan
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang06_rectum,Publication/10.1158/2159-8290.cd-22-0824,linkedToPublication
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang06_rectum,Donor/Wang06,hasDonor
Dataset/63bb6359-3945-4658-92eb-3072419953e4_Wang06_rectum,Organ/UBERON:0000059,hasOrgan
Dataset/64767efb-49b0-4562-a1bd-e619a5d9db41_H18.30.002_hypothalamus,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/64767efb-49b0-4562-a1bd-e619a5d9db41_H18.30.002_hypothalamus,Donor/H18.30.002,hasDonor
Dataset/64767efb-49b0-4562-a1bd-e619a5d9db41_H18.30.002_hypothalamus,Organ/UBERON:0000955,hasOrgan
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H18.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H18.30.002_pons,Donor/H18.30.002,hasDonor
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H18.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.001_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.001_pons,Donor/H19.30.001,hasDonor
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.001_pons,Organ/UBERON:0000955,hasOrgan
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.002_pons,Donor/H19.30.002,hasDonor
Dataset/64f4ad90-a422-400a-944d-4ce0f39594a7_H19.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.001_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.001_cerebral_cortex,Donor/H18.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.001_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebellum,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebral_nuclei,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebral_nuclei,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_cerebral_nuclei,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_midbrain,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_midbrain,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_midbrain,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_myelencephalon,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_pons,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_thalamic_complex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_thalamic_complex,Donor/H18.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H18.30.002_thalamic_complex,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_cerebellum,Donor/H19.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_hypothalamus,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_hypothalamus,Donor/H19.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_hypothalamus,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_myelencephalon,Donor/H19.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_pons,Donor/H19.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_thalamic_complex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_thalamic_complex,Donor/H19.30.001,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.001_thalamic_complex,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebellum,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_cortex,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_nuclei,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_nuclei,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_cerebral_nuclei,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_midbrain,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_midbrain,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_midbrain,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_myelencephalon,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_pons,Donor/H19.30.002,hasDonor
Dataset/6538ce1b-7949-405f-b01c-a2c3e876baee_H19.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.001_primary_motor_cortex,Publication/10.1038/s41586-021-03465-8,linkedToPublication
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.001_primary_motor_cortex,Donor/H18.30.001,hasDonor
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.001_primary_motor_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.002_primary_motor_cortex,Publication/10.1038/s41586-021-03465-8,linkedToPublication
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.002_primary_motor_cortex,Donor/H18.30.002,hasDonor
Dataset/6acb6637-ac08-4a65-b2d1-581e51dc7ccf_H18.30.002_primary_motor_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP14_liver,Publication/10.1126/science.abl4896,linkedToPublication
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP14_liver,Donor/TSP14,hasDonor
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP14_liver,Organ/UBERON:0002107,hasOrgan
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP6_liver,Publication/10.1126/science.abl4896,linkedToPublication
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP6_liver,Donor/TSP6,hasDonor
Dataset/6d41668c-168c-4500-b06a-4674ccf3e19d_TSP6_liver,Organ/UBERON:0002107,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebellum,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebral_nuclei,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebral_nuclei,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_cerebral_nuclei,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hippocampal_formation,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hippocampal_formation,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hippocampal_formation,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hypothalamus,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hypothalamus,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_hypothalamus,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_midbrain,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_midbrain,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_midbrain,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_myelencephalon,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_pons,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_thalamic_complex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_thalamic_complex,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_thalamic_complex,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_spinal_cord,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_spinal_cord,Donor/H18.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H18.30.002_spinal_cord,Organ/UBERON:0002240,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebellum,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_cortex,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_nuclei,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_nuclei,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_cerebral_nuclei,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hippocampal_formation,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hippocampal_formation,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hippocampal_formation,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hypothalamus,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hypothalamus,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_hypothalamus,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_midbrain,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_midbrain,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_midbrain,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_myelencephalon,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_pons,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_thalamic_complex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_thalamic_complex,Donor/H19.30.001,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.001_thalamic_complex,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebellum,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebellum,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebellum,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebral_nuclei,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebral_nuclei,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_cerebral_nuclei,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hippocampal_formation,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hippocampal_formation,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hippocampal_formation,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hypothalamus,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hypothalamus,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_hypothalamus,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_midbrain,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_midbrain,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_midbrain,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_myelencephalon,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_myelencephalon,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_myelencephalon,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_pons,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_pons,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_pons,Organ/UBERON:0000955,hasOrgan
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_thalamic_complex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_thalamic_complex,Donor/H19.30.002,hasDonor
Dataset/6dafb698-7a53-4699-ad13-1b5e2c164be7_H19.30.002_thalamic_complex,Organ/UBERON:0000955,hasOrgan
Dataset/6ec405bb-4727-4c6d-ab4e-01fe489af7ea_TSP4_endometrium,Publication/10.1126/science.abl4896,linkedToPublication
Dataset/6ec405bb-4727-4c6d-ab4e-01fe489af7ea_TSP4_endometrium,Donor/TSP4,hasDonor
Dataset/6ec405bb-4727-4c6d-ab4e-01fe489af7ea_TSP4_endometrium,Organ/UBERON:0000995,hasOrgan
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H18.30.002_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H18.30.002_cerebral_cortex,Donor/H18.30.002,hasDonor
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H18.30.002_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.001_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.001_cerebral_cortex,Donor/H19.30.001,hasDonor
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.001_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.002_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.002_cerebral_cortex,Donor/H19.30.002,hasDonor
Dataset/6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0_H19.30.002_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
Dataset/700aed19-c16e-4ba8-9191-07da098a8626_H18.30.001_cerebral_cortex,Publication/10.1101/2022.10.12.511898,linkedToPublication
Dataset/700aed19-c16e-4ba8-9191-07da098a8626_H18.30.001_cerebral_cortex,Donor/H18.30.001,hasDonor
Dataset/700aed19-c16e-4ba8-9191-07da098a8626_H18.30.001_cerebral_cortex,Organ/UBERON:0000955,hasOrgan
